Date,LTCF,Non_ltcf,New_Death,Cumulative_Death
1/1/2021,16,14,30,896
1/2/2021,12,5,17,913
1/3/2021,17,7,24,937
1/4/2021,8,5,13,950
1/5/2021,11,7,18,968
1/6/2021,10,5,15,983
1/7/2021,11,4,15,998
1/8/2021,5,12,17,1015
1/9/2021,8,16,24,1039
1/10/2021,6,6,12,1051
1/11/2021,16,6,22,1073
1/12/2021,9,15,24,1097
1/13/2021,8,9,17,1114
1/14/2021,8,9,17,1131
1/15/2021,9,14,23,1154
1/16/2021,6,13,19,1173
1/17/2021,6,14,20,1193
1/18/2021,11,8,19,1212
1/19/2021,8,11,19,1231
1/20/2021,4,13,17,1248
1/21/2021,3,9,12,1260
1/22/2021,5,12,17,1277
1/23/2021,9,7,16,1293
1/24/2021,6,7,13,1306
1/25/2021,7,4,11,1317
1/26/2021,7,6,13,1330
1/27/2021,6,9,15,1345
1/28/2021,4,10,14,1359
1/29/2021,6,8,14,1373
1/30/2021,1,3,4,1377
1/31/2021,4,8,12,1389
2/1/2021,6,10,16,1405
2/2/2021,4,6,10,1415
2/3/2021,3,14,17,1432
2/4/2021,3,9,12,1444
2/5/2021,4,6,10,1454
2/6/2021,1,4,5,1459
2/7/2021,0,9,9,1468
2/8/2021,4,1,5,1473
2/9/2021,4,7,11,1484
2/10/2021,3,8,11,1495
2/11/2021,5,7,12,1507
2/12/2021,0,7,7,1514
2/13/2021,1,4,5,1519
2/14/2021,1,4,5,1524
2/15/2021,3,5,8,1532
2/16/2021,0,4,4,1536
2/17/2021,2,7,9,1545
2/18/2021,2,3,5,1550
2/19/2021,2,3,5,1555
2/20/2021,2,5,7,1562
2/21/2021,2,3,5,1567
2/22/2021,1,3,4,1571
2/23/2021,2,4,6,1577
2/24/2021,0,2,2,1579
2/25/2021,0,3,3,1582
2/26/2021,3,5,8,1590
2/27/2021,0,4,4,1594
2/28/2021,0,2,2,1596
3/1/2021,0,4,4,1600
3/2/2021,0,2,2,1602
3/3/2021,1,0,1,1603
3/4/2021,1,2,3,1606
3/5/2021,1,3,4,1610
3/6/2021,1,1,2,1612
3/7/2021,1,0,1,1613
3/8/2021,1,2,3,1616
3/9/2021,0,3,3,1619
3/10/2021,0,4,4,1623
3/11/2021,2,2,4,1627
3/12/2021,2,2,4,1631
3/13/2021,0,1,1,1632
3/14/2021,1,0,1,1633
3/16/2021,0,1,1,1634
3/17/2021,1,1,2,1636
3/18/2021,1,2,3,1639
3/19/2021,0,2,2,1641
3/20/2021,0,1,1,1642
3/21/2021,1,0,1,1643
3/22/2021,0,3,3,1646
3/23/2021,0,2,2,1648
3/24/2021,1,0,1,1649
3/25/2021,0,3,3,1652
3/27/2021,0,1,1,1653
3/28/2021,0,1,1,1654
3/29/2021,0,2,2,1656
4/2/2021,2,0,2,1658
4/3/2021,0,2,2,1660
4/4/2021,2,3,5,1665
4/5/2021,1,0,1,1666
4/6/2021,0,1,1,1667
4/7/2021,0,1,1,1668
4/8/2021,0,2,2,1670
4/10/2021,1,1,2,1672
4/11/2021,0,1,1,1673
4/15/2021,0,1,1,1674
4/16/2021,0,1,1,1675
4/17/2021,0,1,1,1676
4/20/2021,0,1,1,1677
4/22/2021,0,1,1,1678
4/25/2021,0,1,1,1679
4/28/2021,1,1,2,1681
4/29/2021,0,1,1,1682
5/3/2021,1,2,3,1685
5/4/2021,0,1,1,1686
5/5/2021,0,1,1,1687
5/6/2021,1,0,1,1688
5/7/2021,0,2,2,1690
5/13/2021,0,1,1,1691
5/15/2021,0,1,1,1692
5/22/2021,0,1,1,1693
5/26/2021,0,1,1,1694
5/28/2021,0,1,1,1695
5/29/2021,0,1,1,1696
5/30/2021,0,1,1,1697
6/3/2021,0,1,1,1698
6/5/2021,0,1,1,1699
6/7/2021,1,0,1,1700
6/8/2021,1,0,1,1701
6/9/2021,0,1,1,1702
6/10/2021,1,0,1,1703
6/13/2021,0,1,1,1704
6/19/2021,0,1,1,1705
6/27/2021,0,1,1,1706
7/7/2021,0,1,1,1707
7/23/2021,0,1,1,1708
7/24/2021,0,1,1,1709
