Date,Ltcf,Non ltcf,New_Death,Cumulative,Total cases,New_Cases
2/6/2020,0,1,1,1,6,0
2/17/2020,0,1,1,2,7,1
3/6/2020,0,1,1,3,45,10
3/9/2020,0,2,2,5,74,17
3/13/2020,0,1,1,6,186,48
3/15/2020,0,1,1,7,261,32
3/17/2020,0,3,3,10,351,53
3/20/2020,0,2,2,12,506,64
3/21/2020,0,2,2,14,542,36
3/22/2020,0,2,2,16,583,41
3/23/2020,1,4,5,21,662,79
3/24/2020,0,1,1,22,734,72
3/25/2020,0,7,7,29,812,78
3/27/2020,0,1,1,30,954,67
3/28/2020,0,2,2,32,994,40
3/29/2020,0,2,2,34,"1,018",24
3/30/2020,0,2,2,36,"1,096",78
3/31/2020,0,1,1,37,"1,147",51
4/1/2020,0,3,3,40,"1,197",50
4/2/2020,0,2,2,42,"1,250",53
4/3/2020,1,0,1,43,"1,293",43
4/4/2020,1,1,2,45,"1,326",33
4/5/2020,1,1,2,47,"1,369",43
4/6/2020,1,0,1,48,"1,422",53
4/7/2020,1,0,1,49,"1,463",41
4/8/2020,0,2,2,51,"1,535",72
4/9/2020,1,3,4,55,"1,603",68
4/10/2020,1,0,1,56,"1,685",82
4/11/2020,4,1,5,61,"1,726",41
4/12/2020,4,2,6,67,"1,750",24
4/13/2020,0,1,1,68,"1,791",41
4/14/2020,2,0,2,70,"1,835",44
4/15/2020,3,1,4,74,"1,865",30
4/16/2020,2,1,3,77,"1,892",27
4/17/2020,2,3,5,82,"1,934",42
4/18/2020,2,2,4,86,"1,949",15
4/19/2020,1,1,2,88,"1,963",14
4/20/2020,4,1,5,93,"1,988",25
4/21/2020,2,1,3,96,"2,014",26
4/22/2020,1,2,3,99,"2,063",49
4/23/2020,0,1,1,100,"2,083",20
4/24/2020,1,0,1,101,"2,113",30
4/25/2020,1,0,1,102,"2,127",14
4/26/2020,2,1,3,105,"2,138",11
4/27/2020,1,1,2,107,"2,162",24
4/28/2020,1,1,2,109,"2,184",22
4/29/2020,0,1,1,110,"2,212",28
4/30/2020,2,1,3,113,"2,223",11
5/1/2020,1,1,2,115,"2,244",21
5/2/2020,2,1,3,118,"2,256",12
5/3/2020,1,1,2,120,"2,264",8
5/4/2020,3,1,4,124,"2,283",19
5/6/2020,1,1,2,126,"2,324",28
5/8/2020,1,0,1,127,"2,360",24
5/9/2020,0,1,1,128,"2,371",11
5/11/2020,1,1,2,130,"2,394",20
5/12/2020,1,0,1,131,"2,409",15
5/13/2020,0,1,1,132,"2,429",20
5/14/2020,0,1,1,133,"2,453",24
5/15/2020,0,1,1,134,"2,468",15
5/16/2020,1,0,1,135,"2,483",15
5/21/2020,1,0,1,136,"2,630",21
5/25/2020,1,0,1,137,"2,682",7
5/28/2020,1,1,2,139,"2,776",23
5/31/2020,1,1,2,141,"2,846",10
6/1/2020,0,1,1,142,"2,880",34
6/2/2020,0,1,1,143,"2,905",25
6/5/2020,0,1,1,144,"3,020",36
6/9/2020,0,1,1,145,"3,137",47
6/10/2020,1,0,1,146,"3,200",63
6/12/2020,0,1,1,147,"3,308",58
6/19/2020,0,1,1,148,"3,804",110
6/20/2020,1,0,1,149,"3,854",50
6/23/2020,2,0,2,151,"4,188",191
6/24/2020,1,0,1,152,"4,335",147
6/25/2020,0,1,1,153,"4,472",137
6/29/2020,2,0,2,155,"4,919",140
7/2/2020,0,1,1,156,"5,477",185
7/3/2020,0,1,1,157,"5,556",79
7/4/2020,1,1,2,159,"5,600",44
7/5/2020,1,2,3,162,"5,697",97
7/6/2020,0,2,2,164,"5,951",254
7/7/2020,0,1,1,165,"6,243",292
7/9/2020,3,2,5,170,"6,812",281
7/12/2020,0,1,1,171,"7,357",119
7/13/2020,1,0,1,172,"7,563",206
7/14/2020,1,1,2,174,"7,917",354
7/15/2020,0,1,1,175,"8,302",385
7/16/2020,1,1,2,177,"8,642",340
7/17/2020,1,0,1,178,"8,941",299
7/18/2020,0,2,2,180,"9,111",170
7/19/2020,0,1,1,181,"9,198",87
7/20/2020,0,1,1,182,"9,414",216
7/21/2020,0,1,1,183,"9,726",312
7/23/2020,2,1,3,186,"10,309",282
7/24/2020,0,1,1,187,"10,555",246
7/25/2020,1,1,2,189,"10,682",127
7/26/2020,0,1,1,190,"10,768",86
7/28/2020,0,2,2,192,"11,242",298
7/30/2020,0,2,2,194,"11,757",242
7/31/2020,0,1,1,195,"12,019",262
8/1/2020,0,2,2,197,"12,192",173
8/2/2020,0,2,2,199,"12,276",84
8/3/2020,0,3,3,202,"12,446",170
8/4/2020,2,1,3,205,"12,748",302
8/5/2020,1,0,1,206,"13,081",333
8/9/2020,0,1,1,207,"13,903",111
8/11/2020,0,2,2,209,"14,458",331
8/12/2020,1,0,1,210,"14,742",284
8/13/2020,0,3,3,213,"14,985",243
8/14/2020,1,0,1,214,"15,239",254
8/15/2020,0,2,2,216,"15,395",156
8/16/2020,2,1,3,219,"15,466",71
8/17/2020,1,0,1,220,"15,652",186
8/18/2020,1,1,2,222,"15,919",267
8/19/2020,2,3,5,227,"16,091",172
8/20/2020,0,2,2,229,"16,253",162
8/21/2020,1,2,3,232,"16,419",166
8/22/2020,2,0,2,234,"16,557",138
8/23/2020,1,1,2,236,"16,617",60
8/24/2020,3,1,4,240,"16,773",156
8/25/2020,0,1,1,241,"17,061",288
8/26/2020,4,2,6,247,"17,289",228
8/28/2020,1,2,3,250,"17,679",191
8/29/2020,0,1,1,251,"17,820",141
8/30/2020,0,3,3,254,"17,876",56
8/31/2020,1,0,1,255,"18,024",148
9/1/2020,3,0,3,258,"18,258",234
9/2/2020,1,0,1,259,"18,488",230
9/3/2020,0,1,1,260,"18,657",169
9/4/2020,1,1,2,262,"18,834",177
9/6/2020,2,2,4,266,"18,969",45
9/8/2020,2,2,4,270,"19,203",193
9/10/2020,0,1,1,271,"19,555",145
9/11/2020,1,1,2,273,"19,687",132
9/12/2020,0,1,1,274,"19,770",83
9/13/2020,1,4,5,279,"19,803",33
9/14/2020,0,4,4,283,"19,928",125
9/15/2020,1,2,3,286,"20,154",226
9/17/2020,0,2,2,288,"20,480",176
9/19/2020,3,1,4,292,"20,682",71
9/20/2020,1,0,1,293,"20,724",42
9/21/2020,1,0,1,294,"20,846",122
9/22/2020,2,0,2,296,"20,992",146
9/23/2020,0,2,2,298,"21,130",138
9/24/2020,0,2,2,300,"21,248",118
9/26/2020,1,3,4,304,"21,403",52
9/27/2020,3,1,4,308,"21,443",40
9/28/2020,0,2,2,310,"21,540",97
9/29/2020,1,1,2,312,"21,685",145
9/30/2020,1,2,3,315,"21,803",118
