Date,Ltcf,Non ltcf,New_Death,Cumulative,Total cases,New_Cases
1/1/2021,16,14,30,896,"75,237",275
1/2/2021,12,5,17,913,"76,221",984
1/3/2021,17,7,24,937,"77,144",923
1/4/2021,8,5,13,950,"78,757","1,613"
1/5/2021,11,7,18,968,"81,008","2,251"
1/6/2021,10,5,15,983,"82,823","1,815"
1/7/2021,11,4,15,998,"84,447","1,624"
1/8/2021,5,12,17,"1,015","85,590","1,143"
1/9/2021,8,16,24,"1,039","86,460",870
1/10/2021,6,6,12,"1,051","87,156",696
1/11/2021,16,6,22,"1,073","88,440","1,284"
1/12/2021,9,15,24,"1,097","89,926","1,486"
1/13/2021,8,9,17,"1,114","91,228","1,302"
1/14/2021,8,9,17,"1,131","92,391","1,163"
1/15/2021,9,14,23,"1,154","93,390",999
1/16/2021,6,13,19,"1,173","94,011",621
1/17/2021,6,14,20,"1,193","94,479",468
1/18/2021,11,8,19,"1,212","95,216",737
1/19/2021,8,11,19,"1,231","96,238","1,022"
1/20/2021,4,13,17,"1,248","97,124",886
1/21/2021,3,9,12,"1,260","97,904",780
1/22/2021,5,12,17,"1,277","98,523",619
1/23/2021,9,7,16,"1,293","98,945",422
1/24/2021,6,7,13,"1,306","99,290",345
1/25/2021,7,4,11,"1,317","99,915",625
1/26/2021,7,6,13,"1,330","100,457",542
1/27/2021,6,9,15,"1,345","100,988",531
1/28/2021,4,10,14,"1,359","101,405",417
1/29/2021,6,8,14,"1,373","101,913",508
1/30/2021,1,3,4,"1,377","102,294",381
1/31/2021,4,8,12,"1,389","102,570",276
2/1/2021,6,10,16,"1,405","103,116",546
2/2/2021,4,6,10,"1,415","103,570",454
2/3/2021,3,14,17,"1,432","104,061",491
2/4/2021,3,9,12,"1,444","104,458",397
2/5/2021,4,6,10,"1,454","104,852",394
2/6/2021,1,4,5,"1,459","105,096",244
2/7/2021,0,9,9,"1,468","105,277",181
2/8/2021,4,1,5,"1,473","105,629",352
2/9/2021,4,7,11,"1,484","106,040",411
2/10/2021,3,8,11,"1,495","106,415",375
2/11/2021,5,7,12,"1,507","106,718",303
2/12/2021,0,7,7,"1,514","106,984",266
2/13/2021,1,4,5,"1,519","107,136",152
2/14/2021,1,4,5,"1,524","107,322",186
2/15/2021,3,5,8,"1,532","107,509",187
2/16/2021,0,4,4,"1,536","107,750",241
2/17/2021,2,7,9,"1,545","108,014",264
2/18/2021,2,3,5,"1,550","108,286",272
2/19/2021,2,3,5,"1,555","108,518",232
2/20/2021,2,5,7,"1,562","108,693",175
2/21/2021,2,3,5,"1,567","108,858",165
2/22/2021,1,3,4,"1,571","109,122",264
2/23/2021,2,4,6,"1,577","109,340",218
2/24/2021,0,2,2,"1,579","109,600",260
2/25/2021,0,3,3,"1,582","109,765",165
2/26/2021,3,5,8,"1,590","109,921",156
2/27/2021,0,4,4,"1,594","110,055",134
2/28/2021,0,2,2,"1,596","110,178",123
3/1/2021,0,4,4,"1,600","110,380",202
3/2/2021,0,2,2,"1,602","110,562",182
3/3/2021,1,0,1,"1,603","110,756",194
3/4/2021,1,2,3,"1,606","110,919",163
3/5/2021,1,3,4,"1,610","111,073",154
3/6/2021,1,1,2,"1,612","111,160",87
3/7/2021,1,0,1,"1,613","111,238",78
3/8/2021,1,2,3,"1,616","111,405",167
3/9/2021,0,3,3,"1,619","111,556",151
3/10/2021,0,4,4,"1,623","111,691",135
3/11/2021,2,2,4,"1,627","111,811",120
3/12/2021,2,2,4,"1,631","111,924",113
3/13/2021,0,1,1,"1,632","112,019",95
3/14/2021,1,0,1,"1,633","112,085",66
3/16/2021,0,1,1,"1,634","112,338",117
3/17/2021,1,1,2,"1,636","112,490",152
3/18/2021,1,2,3,"1,639","112,597",107
3/19/2021,0,2,2,"1,641","112,711",114
3/20/2021,0,1,1,"1,642","112,778",67
3/21/2021,1,0,1,"1,643","112,853",75
3/22/2021,0,3,3,"1,646","112,965",112
3/23/2021,0,2,2,"1,648","113,084",119
3/24/2021,1,0,1,"1,649","113,209",125
3/25/2021,0,3,3,"1,652","113,343",134
3/27/2021,0,1,1,"1,653","113,537",67
3/28/2021,0,1,1,"1,654","113,603",66
3/29/2021,0,2,2,"1,656","113,718",115
4/2/2021,2,0,2,"1,658","114,181",103
4/3/2021,0,2,2,"1,660","114,253",72
4/4/2021,2,3,5,"1,665","114,311",58
4/5/2021,1,0,1,"1,666","114,508",197
4/6/2021,0,1,1,"1,667","114,675",167
4/7/2021,0,1,1,"1,668","114,843",168
4/8/2021,0,2,2,"1,670","115,002",159
4/10/2021,1,1,2,"1,672","115,234",100
4/11/2021,0,1,1,"1,673","115,299",65
4/15/2021,0,1,1,"1,674","115,852",141
4/16/2021,0,1,1,"1,675","115,966",114
4/17/2021,0,1,1,"1,676","116,060",94
4/20/2021,0,1,1,"1,677","116,398",124
4/22/2021,0,1,1,"1,678","116,599",79
4/25/2021,0,1,1,"1,679","116,807",51
4/28/2021,1,1,2,"1,681","117,051",62
4/29/2021,0,1,1,"1,682","117,133",82
5/3/2021,1,2,3,"1,685","117,364",71
5/4/2021,0,1,1,"1,686","117,449",85
5/5/2021,0,1,1,"1,687","117,519",70
5/6/2021,1,0,1,"1,688","117,564",45
5/7/2021,0,2,2,"1,690","117,616",52
5/13/2021,0,1,1,"1,691","117,889",58
5/15/2021,0,1,1,"1,692","117,956",23
5/22/2021,0,1,1,"1,693","118,171",28
5/26/2021,0,1,1,"1,694","118,265",22
5/28/2021,0,1,1,"1,695","118,319",22
5/29/2021,0,1,1,"1,696","118,335",16
5/30/2021,0,1,1,"1,697","118,359",24
