Date,New_Death,New_Cases,Cumulative_Death,Total_cases
1/1/2021,30,275,896,"75,237"
1/2/2021,17,984,913,"76,221"
1/3/2021,24,923,937,"77,144"
1/4/2021,13,"1,613",950,"78,757"
1/5/2021,18,"2,251",968,"81,008"
1/6/2021,15,"1,815",983,"82,823"
1/7/2021,15,"1,624",998,"84,447"
1/8/2021,17,"1,143","1,015","85,590"
1/9/2021,24,870,"1,039","86,460"
1/10/2021,12,696,"1,051","87,156"
1/11/2021,22,"1,284","1,073","88,440"
1/12/2021,24,"1,486","1,097","89,926"
1/13/2021,17,"1,302","1,114","91,228"
1/14/2021,17,"1,163","1,131","92,391"
1/15/2021,23,999,"1,154","93,390"
1/16/2021,19,621,"1,173","94,011"
1/17/2021,20,468,"1,193","94,479"
1/18/2021,19,737,"1,212","95,216"
1/19/2021,19,"1,022","1,231","96,238"
1/20/2021,17,886,"1,248","97,124"
1/21/2021,12,780,"1,260","97,904"
1/22/2021,17,619,"1,277","98,523"
1/23/2021,16,422,"1,293","98,945"
1/24/2021,13,345,"1,306","99,290"
1/25/2021,11,625,"1,317","99,915"
1/26/2021,13,542,"1,330","100,457"
1/27/2021,15,531,"1,345","100,988"
1/28/2021,14,417,"1,359","101,405"
1/29/2021,14,508,"1,373","101,913"
1/30/2021,4,381,"1,377","102,294"
1/31/2021,12,276,"1,389","102,570"
2/1/2021,16,546,"1,405","103,116"
2/2/2021,10,454,"1,415","103,570"
2/3/2021,17,491,"1,432","104,061"
2/4/2021,12,397,"1,444","104,458"
2/5/2021,10,394,"1,454","104,852"
2/6/2021,5,244,"1,459","105,096"
2/7/2021,9,181,"1,468","105,277"
2/8/2021,5,352,"1,473","105,629"
2/9/2021,11,411,"1,484","106,040"
2/10/2021,11,375,"1,495","106,415"
2/11/2021,12,303,"1,507","106,718"
2/12/2021,7,266,"1,514","106,984"
2/13/2021,5,152,"1,519","107,136"
2/14/2021,5,186,"1,524","107,322"
2/15/2021,8,187,"1,532","107,509"
2/16/2021,4,241,"1,536","107,750"
2/17/2021,9,264,"1,545","108,014"
2/18/2021,5,272,"1,550","108,286"
2/19/2021,5,232,"1,555","108,518"
2/20/2021,7,175,"1,562","108,693"
2/21/2021,5,165,"1,567","108,858"
2/22/2021,4,264,"1,571","109,122"
2/23/2021,6,218,"1,577","109,340"
2/24/2021,2,260,"1,579","109,600"
2/25/2021,3,165,"1,582","109,765"
2/26/2021,8,156,"1,590","109,921"
2/27/2021,4,134,"1,594","110,055"
2/28/2021,2,123,"1,596","110,178"
3/1/2021,4,202,"1,600","110,380"
3/2/2021,2,182,"1,602","110,562"
3/3/2021,1,194,"1,603","110,756"
3/4/2021,3,163,"1,606","110,919"
